Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
4/30/2019,65885,19365,PA,Philadelphia-Camden-Wilmington,Chester County,Parkesburg,9906,199500,-0.011397423,-0.013353116,0.040688576,0.018531119,-0.000997017,2006-11,2006-Q4,217100,-0.081068632,2005-10
4/30/2019,88615,70462,LA,Baton Rouge,Livingston Parish,Killian,9907,122700,0.011541632,0.033698399,-0.187954997,-0.012854925,0.01369081,2018-04,2018-Q2,151100,-0.187954997,2016-09
4/30/2019,99974,98815,WA,Wenatchee,Chelan County,Cashmere,9908,314900,-0.012543117,0.00222788,0.145090909,0.092751143,0.033545556,2019-03,2019-Q1,318900,-0.012543117,2019-02
4/30/2019,64292,15748,PA,Indiana,Indiana County,Center,9909,99000,-0.004024145,-0.01,-0.001009082,0.015216114,0.016083209,2018-10,2018-Q4,101100,-0.020771513,2018-04
4/30/2019,67479,23009,VA,Richmond,King William County,Aylett,9910,199000,-0.005497251,-0.009457442,0.037539103,0.03079284,-0.000900051,2007-05,2007-Q2,225500,-0.11751663,2006-01
4/30/2019,69364,27505,NC,Dunn,Harnett County,Broadway,9911,159700,0.008207071,0.025032092,0.053430079,0.027415567,0.010121866,2019-04,2019-Q2,159700,0,2019-04
4/30/2019,69289,27306,NC,,Montgomery County,Mount Gilead,9912,96900,-0.020222447,-0.032934132,0.075471698,0.058859847,0.015116233,2019-02,2019-Q1,100200,-0.032934132,2018-08
4/30/2019,88764,70734,LA,Baton Rouge,Ascension Parish,Geismar,9913,273000,-0.004013134,-0.010511055,0.006637168,0.0158956,0.006883632,2019-01,2019-Q1,275900,-0.010511055,2018-09
4/30/2019,81590,54155,WI,Green Bay,Brown County,Hobart,9914,265500,0.003780718,0.018802763,0.050652948,0.108682141,0.043823219,2019-04,2019-Q2,265500,0,2019-04
4/30/2019,63410,14085,NY,Buffalo-Cheektowaga-Niagara Falls,Erie County,Hamburg,9915,216000,0.002320186,0.024667932,0.042974408,0.047464415,0.028932233,2019-04,2019-Q2,216000,0,2019-04
4/30/2019,62665,12564,NY,New York-Newark-Jersey City,Dutchess County,Pawling,9916,287100,-0.002778743,0.007722008,0.052805281,0.044622745,-0.006322694,2007-02,2007-Q1,366400,-0.216430131,2003-06
4/30/2019,60724,7624,NJ,New York-Newark-Jersey City,Bergen County,Closter,9917,673100,0.000148588,0.000148588,0.003578351,0.016866072,0.003251578,2006-03,2006-Q1,779000,-0.135943517,2005-03
4/30/2019,59281,3903,ME,Portland-South Portland,York County,Eliot,9918,349700,-0.001712818,0.00662061,0.020426029,0.0462086,0.023579516,2019-03,2019-Q1,350300,-0.001712818,2019-03
4/30/2019,78349,46933,IN,Marion,Grant County,Gas City,9919,92000,0,0.001088139,0.077283372,0.034097876,0.019289202,2019-04,2019-Q2,92000,0,2019-04
4/30/2019,81513,53954,WI,Madison,Columbia County,Pardeeville,9920,187700,-0.004772004,-0.000532481,0.024004364,0.048957682,0.017503068,2018-09,2018-Q3,190600,-0.01521511,2018-08
